cleaned_complaints,complaints_description_length,new_communication_channel,new_complaint_category,new_complaint_date,new_complaint_description,new_complaint_id,new_complaint_priority,new_complaint_product_type,new_complaint_status,new_customer_country,new_customer_id,new_customer_name,new_department_assigend
blush arrived damaged packaging disappointed,63,Email,packaging,2025-08-29,the blush arrived with damaged packaging and i am disappointed.,109,5,Blush,resolved,Ghana,1109,Customer_109,Packaging Department
lipstick arrived damaged packaging disappointed,66,Website,packaging,2025-01-15,The Lipstick arrived with damaged packaging and I am disappointed.,112,2,Lipstick,in_progress,Ghana,1112,Customer_112,Packaging Department
blush arrived damaged packaging disappointed,63,Mobile App,packaging,2025-05-28,The Blush arrived with damaged packaging and I am disappointed.,115,4,Blush,awaiting,Algeria,1115,Customer_115,Packaging Department
eyeshadow arrived damaged packaging disappointed,67,Mobile App,packaging,2025-03-31,The Eyeshadow arrived with damaged packaging and I am disappointed.,121,3,Eyeshadow,in_progress,Tunisia,1121,Customer_121,Packaging Department
concealer arrived damaged packaging disappointed,67,Phone Call,packaging,2025-05-12,The Concealer arrived with damaged packaging and I am disappointed.,122,3,Concealer,resolved,Morocco,1122,Customer_122,Packaging Department
concealer arrived damaged packaging disappointed,67,Phone Call,packaging,2025-11-02,The Concealer arrived with damaged packaging and I am disappointed.,133,5,Concealer,in_progress,Morocco,1133,Customer_133,Packaging Department
eyeshadow arrived damaged packaging disappointed,67,Website,packaging,2025-12-10,The Eyeshadow arrived with damaged packaging and I am disappointed.,143,3,Eyeshadow,in_progress,Egypt,1143,Customer_143,Packaging Department
primer arrived damaged packaging disappointed,64,Mobile App,packaging,2025-11-07,the primer arrived with damaged packaging and i am disappointed.,150,3,Primer,resolved,Kenya,1150,Customer_150,Packaging Department
sunscreen arrived damaged packaging disappointed,67,Phone Call,packaging,2025-11-18,The Sunscreen arrived with damaged packaging and I am disappointed.,159,4,Sunscreen,resolved,Nigeria,1159,Customer_159,Packaging Department
lipstick arrived damaged packaging disappointed,66,Email,packaging,2025-06-30,The Lipstick arrived with damaged packaging and I am disappointed.,161,4,Lipstick,awaiting,Egypt,1161,Customer_161,Packaging Department
blush arrived damaged packaging disappointed please help,78,Email,packaging,2025-11-11,The Blush arrived with damaged packaging and I am disappointed. please help!!!,162,4,Blush,awaiting,Nigeria,1162,Customer_162,Packaging Department
kohl arrived damaged packaging disappointed,62,Phone Call,packaging,2025-06-20,The Kohl arrived with damaged packaging and I am disappointed.,167,5,Kohl,in_progress,Egypt,1167,Customer_167,Packaging Department
sunscreen arrived damaged packaging disappointed,67,Mobile App,packaging,2025-11-02,The Sunscreen arrived with damaged packaging and I am disappointed.,183,3,Sunscreen,awaiting,Nigeria,1183,Customer_183,Packaging Department
concealer arrived damaged packaging disappointed,67,Website,packaging,2025-05-04,The Concealer arrived with damaged packaging and I am disappointed.,184,3,Concealer,awaiting,Nigeria,1184,Customer_184,Packaging Department
body lotion arrived damaged packaging disappointed,69,Email,packaging,2025-06-26,The Body Lotion arrived with damaged packaging and I am disappointed.,186,1,Body Lotion,in_progress,Algeria,1186,Customer_186,Packaging Department
lipstick arrived damaged packaging disappointed,66,Mobile App,packaging,2025-07-29,the lipstick arrived with damaged packaging and i am disappointed.,204,4,Lipstick,awaiting,Kenya,1204,Customer_204,Packaging Department
eyeshadow arrived damaged packaging disappointed,67,Phone Call,packaging,2025-10-10,The Eyeshadow arrived with damaged packaging and I am disappointed.,205,4,Eyeshadow,awaiting,Morocco,1205,Customer_205,Packaging Department
sunscreen arrived damaged packaging disappointed,67,Email,packaging,2025-05-09,The Sunscreen arrived with damaged packaging and I am disappointed.,207,5,Sunscreen,in_progress,Algeria,1207,Customer_207,Packaging Department
kohl arrived damaged packaging disappointed,62,Email,packaging,2025-01-15,The Kohl arrived with damaged packaging and I am disappointed.,209,3,Kohl,in_progress,Egypt,1209,Customer_209,Packaging Department
kohl arrived damaged packaging disappointed,62,Mobile App,packaging,2025-11-13,The Kohl arrived with damaged packaging and I am disappointed.,210,2,Kohl,awaiting,Egypt,1210,Customer_210,Packaging Department
kohl arrived damaged packaging disappointed,62,Mobile App,packaging,2025-06-02,The Kohl arrived with damaged packaging and I am disappointed.,211,3,Kohl,resolved,Ghana,1211,Customer_211,Packaging Department
cleanser arrived damaged packaging disappointed,66,Phone Call,packaging,2025-06-10,The Cleanser arrived with damaged packaging and I am disappointed.,212,3,Cleanser,awaiting,Morocco,1212,Customer_212,Packaging Department
eyeliner arrived damaged packaging disappointed,66,Email,packaging,2025-10-19,The Eyeliner arrived with damaged packaging and I am disappointed.,218,3,Eyeliner,awaiting,Kenya,1218,Customer_218,Packaging Department
concealer arrived damaged packaging disappointed,67,Website,packaging,2025-10-31,the concealer arrived with damaged packaging and i am disappointed.,222,3,Concealer,resolved,Kenya,1222,Customer_222,Packaging Department
kohl arrived damaged packaging disappointed,62,Phone Call,packaging,2025-01-17,The Kohl arrived with damaged packaging and I am disappointed.,226,3,Kohl,awaiting,Algeria,1226,Customer_226,Packaging Department
lipstick arrived damaged packaging disappointed,66,Phone Call,packaging,2025-04-14,The Lipstick arrived with damaged packaging and I am disappointed.,233,2,Lipstick,awaiting,Kenya,1233,Customer_233,Packaging Department
kohl arrived damaged packaging disappointed,62,Email,packaging,2025-05-14,the kohl arrived with damaged packaging and i am disappointed.,243,3,Kohl,resolved,Ghana,1243,Customer_243,Packaging Department
body lotion arrived damaged packaging disappointed,69,Mobile App,packaging,2025-07-11,The Body Lotion arrived with damaged packaging and I am disappointed.,253,4,Body Lotion,resolved,Tunisia,1253,Customer_253,Packaging Department
concealer arrived damaged packaging disappointed,67,Email,packaging,2025-01-12,The Concealer arrived with damaged packaging and I am disappointed.,255,5,Concealer,resolved,Algeria,1255,Customer_255,Packaging Department
cleanser arrived damaged packaging disappointed,66,Email,packaging,2025-07-25,The Cleanser arrived with damaged packaging and I am disappointed.,258,5,Cleanser,resolved,Ghana,1258,Customer_258,Packaging Department
eyeshadow arrived damaged packaging disappointed,67,Mobile App,packaging,2025-07-29,The Eyeshadow arrived with damaged packaging and I am disappointed.,262,4,Eyeshadow,in_progress,Morocco,1262,Customer_262,Packaging Department
foundation arrived damaged packaging disappointed,68,Mobile App,packaging,2025-12-04,the foundation arrived with damaged packaging and i am disappointed.,275,3,Foundation,resolved,Egypt,1275,Customer_275,Packaging Department
concealer arrived damaged packaging disappointed please help,82,Website,packaging,2025-01-09,The Concealer arrived with damaged packaging and I am disappointed. please help!!!,276,3,Concealer,awaiting,Morocco,1276,Customer_276,Packaging Department
sunscreen arrived damaged packaging disappointed,67,Email,packaging,2025-06-03,The Sunscreen arrived with damaged packaging and I am disappointed.,283,4,Sunscreen,in_progress,Kenya,1283,Customer_283,Packaging Department
eyeliner arrived damaged packaging disappointed,66,Mobile App,packaging,2025-06-12,The Eyeliner arrived with damaged packaging and I am disappointed.,288,4,Eyeliner,resolved,Tunisia,1288,Customer_288,Packaging Department
cleanser arrived damaged packaging disappointed,66,Phone Call,packaging,2025-02-14,The Cleanser arrived with damaged packaging and I am disappointed.,289,4,Cleanser,in_progress,Nigeria,1289,Customer_289,Packaging Department
body lotion arrived damaged packaging disappointed,69,Email,packaging,2025-03-27,The Body Lotion arrived with damaged packaging and I am disappointed.,292,3,Body Lotion,resolved,Ghana,1292,Customer_292,Packaging Department
body lotion arrived damaged packaging disappointed,69,Phone Call,packaging,2025-06-16,The Body Lotion arrived with damaged packaging and I am disappointed.,296,4,Body Lotion,resolved,Kenya,1296,Customer_296,Packaging Department
blush arrived damaged packaging disappointed,63,Email,packaging,2025-07-29,The Blush arrived with damaged packaging and I am disappointed.,298,4,Blush,awaiting,Algeria,1298,Customer_298,Packaging Department
lipstick arrived damaged packaging disappointed,66,Phone Call,packaging,2025-08-17,The Lipstick arrived with damaged packaging and I am disappointed.,303,3,Lipstick,resolved,Egypt,1303,Customer_303,Packaging Department
foundation arrived damaged packaging disappointed,68,Mobile App,packaging,2025-11-19,The Foundation arrived with damaged packaging and I am disappointed.,308,3,Foundation,in_progress,Algeria,1308,Customer_308,Packaging Department
foundation arrived damaged packaging disappointed,68,Phone Call,packaging,2025-09-19,The Foundation arrived with damaged packaging and I am disappointed.,313,2,Foundation,resolved,Morocco,1313,Customer_313,Packaging Department
body lotion arrived damaged packaging disappointed,69,Mobile App,packaging,2025-08-01,The Body Lotion arrived with damaged packaging and I am disappointed.,316,3,Body Lotion,awaiting,Tunisia,1316,Customer_316,Packaging Department
lipstick arrived damaged packaging disappointed,66,Email,packaging,2025-08-14,The Lipstick arrived with damaged packaging and I am disappointed.,319,5,Lipstick,awaiting,Egypt,1319,Customer_319,Packaging Department
kohl arrived damaged packaging disappointed,62,Phone Call,packaging,2025-08-14,The Kohl arrived with damaged packaging and I am disappointed.,330,2,Kohl,resolved,Algeria,1330,Customer_330,Packaging Department
body lotion arrived damaged packaging disappointed,69,Website,packaging,2025-03-23,The Body Lotion arrived with damaged packaging and I am disappointed.,331,2,Body Lotion,resolved,Tunisia,1331,Customer_331,Packaging Department
eyeshadow arrived damaged packaging disappointed,67,Email,packaging,2025-07-22,The Eyeshadow arrived with damaged packaging and I am disappointed.,332,5,Eyeshadow,awaiting,Ghana,1332,Customer_332,Packaging Department
lipstick arrived damaged packaging disappointed,66,Website,packaging,2025-07-08,The Lipstick arrived with damaged packaging and I am disappointed.,335,4,Lipstick,resolved,Nigeria,1335,Customer_335,Packaging Department
foundation arrived damaged packaging disappointed,68,Email,packaging,2025-11-09,The Foundation arrived with damaged packaging and I am disappointed.,336,1,Foundation,awaiting,Egypt,1336,Customer_336,Packaging Department
eyeshadow arrived damaged packaging disappointed,67,Mobile App,packaging,2025-04-22,The Eyeshadow arrived with damaged packaging and I am disappointed.,337,2,Eyeshadow,in_progress,Kenya,1337,Customer_337,Packaging Department
blush arrived damaged packaging disappointed please help,78,Website,packaging,2025-06-12,The Blush arrived with damaged packaging and I am disappointed. please help!!!,341,5,Blush,in_progress,Nigeria,1341,Customer_341,Packaging Department
eyeliner arrived damaged packaging disappointed,66,Website,packaging,2025-11-18,The Eyeliner arrived with damaged packaging and I am disappointed.,343,5,Eyeliner,awaiting,Kenya,1343,Customer_343,Packaging Department
body lotion arrived damaged packaging disappointed,69,Phone Call,packaging,2025-03-03,the body lotion arrived with damaged packaging and i am disappointed.,347,1,Body Lotion,in_progress,Tunisia,1347,Customer_347,Packaging Department
eyeliner arrived damaged packaging disappointed,66,Mobile App,packaging,2025-05-20,The Eyeliner arrived with damaged packaging and I am disappointed.,349,5,Eyeliner,awaiting,Morocco,1349,Customer_349,Packaging Department
primer arrived damaged packaging disappointed,64,Mobile App,packaging,2025-10-18,The Primer arrived with damaged packaging and I am disappointed.,350,3,Primer,in_progress,Nigeria,1350,Customer_350,Packaging Department
cleanser arrived damaged packaging disappointed,66,Phone Call,packaging,2025-01-19,The Cleanser arrived with damaged packaging and I am disappointed.,352,3,Cleanser,awaiting,Ghana,1352,Customer_352,Packaging Department
body lotion arrived damaged packaging disappointed,69,Email,packaging,2025-06-21,the body lotion arrived with damaged packaging and i am disappointed.,357,4,Body Lotion,in_progress,Tunisia,1357,Customer_357,Packaging Department
kohl arrived damaged packaging disappointed,62,Mobile App,packaging,2025-12-25,The Kohl arrived with damaged packaging and I am disappointed.,361,3,Kohl,awaiting,Morocco,1361,Customer_361,Packaging Department
blush arrived damaged packaging disappointed,63,Phone Call,packaging,2025-08-20,The Blush arrived with damaged packaging and I am disappointed.,363,3,Blush,resolved,Algeria,1363,Customer_363,Packaging Department
sunscreen arrived damaged packaging disappointed,67,Website,packaging,2025-03-31,The Sunscreen arrived with damaged packaging and I am disappointed.,365,1,Sunscreen,in_progress,Morocco,1365,Customer_365,Packaging Department
sunscreen arrived damaged packaging disappointed,67,Email,packaging,2025-10-26,the sunscreen arrived with damaged packaging and i am disappointed.,367,3,Sunscreen,awaiting,Tunisia,1367,Customer_367,Packaging Department
blush arrived damaged packaging disappointed,63,Mobile App,packaging,2025-09-12,the blush arrived with damaged packaging and i am disappointed.,369,3,Blush,in_progress,Tunisia,1369,Customer_369,Packaging Department
primer arrived damaged packaging disappointed,64,Mobile App,packaging,2025-09-29,The Primer arrived with damaged packaging and I am disappointed.,374,4,Primer,resolved,Nigeria,1374,Customer_374,Packaging Department
blush arrived damaged packaging disappointed,63,Website,packaging,2025-04-01,the blush arrived with damaged packaging and i am disappointed.,379,2,Blush,resolved,Ghana,1379,Customer_379,Packaging Department
foundation arrived damaged packaging disappointed,68,Website,packaging,2025-02-07,The Foundation arrived with damaged packaging and I am disappointed.,380,4,Foundation,resolved,Algeria,1380,Customer_380,Packaging Department
blush arrived damaged packaging disappointed,63,Phone Call,packaging,2025-11-22,the blush arrived with damaged packaging and i am disappointed.,385,2,Blush,in_progress,Morocco,1385,Customer_385,Packaging Department
eyeliner arrived damaged packaging disappointed,66,Mobile App,packaging,2025-03-27,The Eyeliner arrived with damaged packaging and I am disappointed.,387,1,Eyeliner,resolved,Kenya,1387,Customer_387,Packaging Department
cleanser arrived damaged packaging disappointed,66,Website,packaging,2025-03-29,The Cleanser arrived with damaged packaging and I am disappointed.,389,5,Cleanser,resolved,Nigeria,1389,Customer_389,Packaging Department
lipstick arrived damaged packaging disappointed,66,Mobile App,packaging,2025-12-27,The Lipstick arrived with damaged packaging and I am disappointed.,390,2,Lipstick,in_progress,Egypt,1390,Customer_390,Packaging Department
primer arrived damaged packaging disappointed,64,Mobile App,packaging,2025-02-14,The Primer arrived with damaged packaging and I am disappointed.,393,1,Primer,resolved,Nigeria,1393,Customer_393,Packaging Department
foundation arrived damaged packaging disappointed,68,Email,packaging,2025-12-16,The Foundation arrived with damaged packaging and I am disappointed.,401,2,Foundation,resolved,Kenya,1401,Customer_401,Packaging Department
concealer arrived damaged packaging disappointed,67,Email,packaging,2025-03-30,The Concealer arrived with damaged packaging and I am disappointed.,411,3,Concealer,in_progress,Egypt,1411,Customer_411,Packaging Department
kohl arrived damaged packaging disappointed,62,Website,packaging,2025-06-02,The Kohl arrived with damaged packaging and I am disappointed.,419,3,Kohl,awaiting,Egypt,1419,Customer_419,Packaging Department
lipstick arrived damaged packaging disappointed,66,Website,packaging,2025-12-02,The Lipstick arrived with damaged packaging and I am disappointed.,420,3,Lipstick,awaiting,Morocco,1420,Customer_420,Packaging Department
primer arrived damaged packaging disappointed,64,Mobile App,packaging,2025-12-10,The Primer arrived with damaged packaging and I am disappointed.,423,4,Primer,resolved,Tunisia,1423,Customer_423,Packaging Department
sunscreen arrived damaged packaging disappointed,67,Phone Call,packaging,2025-01-10,The Sunscreen arrived with damaged packaging and I am disappointed.,432,5,Sunscreen,awaiting,Algeria,1432,Customer_432,Packaging Department
sunscreen arrived damaged packaging disappointed,67,Mobile App,packaging,2025-09-15,The Sunscreen arrived with damaged packaging and I am disappointed.,433,3,Sunscreen,awaiting,Nigeria,1433,Customer_433,Packaging Department
kohl arrived damaged packaging disappointed,62,Website,packaging,2025-11-15,The Kohl arrived with damaged packaging and I am disappointed.,439,4,Kohl,awaiting,Tunisia,1439,Customer_439,Packaging Department
lipstick arrived damaged packaging disappointed,66,Email,packaging,2025-09-19,The Lipstick arrived with damaged packaging and I am disappointed.,443,4,Lipstick,in_progress,Ghana,1443,Customer_443,Packaging Department
foundation arrived damaged packaging disappointed,68,Website,packaging,2025-08-07,The Foundation arrived with damaged packaging and I am disappointed.,445,3,Foundation,awaiting,Tunisia,1445,Customer_445,Packaging Department
cleanser arrived damaged packaging disappointed,66,Website,packaging,2025-08-13,the cleanser arrived with damaged packaging and i am disappointed.,446,4,Cleanser,awaiting,Morocco,1446,Customer_446,Packaging Department
foundation arrived damaged packaging disappointed,68,Mobile App,packaging,2025-04-03,the foundation arrived with damaged packaging and i am disappointed.,449,3,Foundation,awaiting,Egypt,1449,Customer_449,Packaging Department
body lotion arrived damaged packaging disappointed please help,84,Phone Call,packaging,2025-12-09,The Body Lotion arrived with damaged packaging and I am disappointed. please help!!!,451,4,Body Lotion,resolved,Nigeria,1451,Customer_451,Packaging Department
blush arrived damaged packaging disappointed,63,Phone Call,packaging,2025-10-09,The Blush arrived with damaged packaging and I am disappointed.,454,3,Blush,awaiting,Egypt,1454,Customer_454,Packaging Department
blush arrived damaged packaging disappointed please help,78,Email,packaging,2025-02-16,The Blush arrived with damaged packaging and I am disappointed. please help!!!,456,3,Blush,awaiting,Nigeria,1456,Customer_456,Packaging Department
eyeliner arrived damaged packaging disappointed,66,Phone Call,packaging,2025-11-21,The Eyeliner arrived with damaged packaging and I am disappointed.,474,5,Eyeliner,awaiting,Kenya,1474,Customer_474,Packaging Department
kohl arrived damaged packaging disappointed,62,Mobile App,packaging,2025-01-21,the kohl arrived with damaged packaging and i am disappointed.,476,4,Kohl,resolved,Nigeria,1476,Customer_476,Packaging Department
eyeshadow arrived damaged packaging disappointed,67,Website,packaging,2025-09-09,The Eyeshadow arrived with damaged packaging and I am disappointed.,478,4,Eyeshadow,awaiting,Algeria,1478,Customer_478,Packaging Department
primer arrived damaged packaging disappointed,64,Website,packaging,2025-04-19,The Primer arrived with damaged packaging and I am disappointed.,493,2,Primer,resolved,Ghana,1493,Customer_493,Packaging Department
kohl arrived damaged packaging disappointed,62,Website,packaging,2025-07-02,the kohl arrived with damaged packaging and i am disappointed.,496,4,Kohl,in_progress,Kenya,1496,Customer_496,Packaging Department
sunscreen arrived damaged packaging disappointed,67,Website,packaging,2025-03-10,The Sunscreen arrived with damaged packaging and I am disappointed.,499,4,Sunscreen,awaiting,Morocco,1499,Customer_499,Packaging Department
